Method,n,Accuracy,Sensitivity,Specificity,Precision,Recall,F1,MCC,ROC-AUC
Baseline,562,0.977 ± 0.006,0.707 ± 0.087,0.994 ± 0.004,0.886 ± 0.063,0.707 ± 0.087,0.783 ± 0.062,0.778 ± 0.061,0.920 ± 0.040
mRMR,140,0.977 ± 0.006,0.704 ± 0.083,0.994 ± 0.003,0.894 ± 0.051,0.704 ± 0.083,0.784 ± 0.060,0.780 ± 0.058,0.920 ± 0.038
Elastic Net,181,0.974 ± 0.006,0.705 ± 0.079,0.991 ± 0.004,0.844 ± 0.067,0.705 ± 0.079,0.765 ± 0.058,0.757 ± 0.059,0.915 ± 0.043
Mutual Information,140,0.974 ± 0.007,0.682 ± 0.086,0.993 ± 0.005,0.864 ± 0.075,0.682 ± 0.086,0.758 ± 0.065,0.753 ± 0.065,0.923 ± 0.033
RFE,140,0.976 ± 0.007,0.718 ± 0.092,0.993 ± 0.004,0.872 ± 0.062,0.718 ± 0.092,0.785 ± 0.070,0.778 ± 0.070,0.914 ± 0.042
Length only,1,0.877 ± 0.024,0.587 ± 0.107,0.896 ± 0.026,0.273 ± 0.055,0.587 ± 0.107,0.368 ± 0.061,0.342 ± 0.070,0.793 ± 0.061
