Method,n,Accuracy,Sensitivity,Specificity,Precision,Recall,F1,MCC,ROC-AUC
Baseline,162,0.973 ± 0.006,0.667 ± 0.080,0.993 ± 0.004,0.858 ± 0.062,0.667 ± 0.080,0.748 ± 0.063,0.742 ± 0.063,0.921 ± 0.034
mRMR,40,0.965 ± 0.007,0.658 ± 0.076,0.985 ± 0.005,0.738 ± 0.070,0.658 ± 0.076,0.694 ± 0.063,0.678 ± 0.066,0.903 ± 0.036
Elastic Net,60,0.971 ± 0.008,0.696 ± 0.080,0.988 ± 0.007,0.800 ± 0.084,0.696 ± 0.080,0.741 ± 0.066,0.729 ± 0.068,0.918 ± 0.035
Mutual Information,40,0.962 ± 0.009,0.680 ± 0.086,0.980 ± 0.008,0.695 ± 0.090,0.680 ± 0.086,0.684 ± 0.071,0.666 ± 0.075,0.889 ± 0.041
RFE,40,0.970 ± 0.008,0.698 ± 0.095,0.987 ± 0.006,0.788 ± 0.083,0.698 ± 0.095,0.736 ± 0.074,0.724 ± 0.076,0.910 ± 0.038
Length only,1,0.877 ± 0.024,0.587 ± 0.107,0.896 ± 0.026,0.273 ± 0.055,0.587 ± 0.107,0.368 ± 0.061,0.342 ± 0.070,0.793 ± 0.061
