A,B,mean_diff,wilcoxon_p,paired_t_p,corrected_t_p,wilcoxon_holm,corrected_t_holm
Baseline,Length only,0.4002980396822833,5.960464477539063e-08,5.502983185534684e-19,1.1841433534060655e-09,8.940696716308594e-07,1.7762150301090982e-08
Elastic Net,Length only,0.38765391185892695,5.960464477539063e-08,9.694235598407343e-18,1.2089460332505557e-08,8.940696716308594e-07,1.5716298432257223e-07
RFE,Length only,0.382495976615038,5.960464477539063e-08,1.7324800265331435e-16,1.1157272844304344e-07,8.940696716308594e-07,1.3388727413165213e-06
mRMR,Length only,0.33626284557307895,5.960464477539063e-08,5.9732721388779326e-18,8.228520841742095e-09,8.940696716308594e-07,1.1519929178438932e-07
Mutual Information,Length only,0.32408331112178357,5.960464477539063e-08,5.375814050995974e-15,1.3319905680132143e-06,8.940696716308594e-07,1.4651896248145358e-05
Baseline,Mutual Information,0.07621472856049978,1.821529714896801e-05,1.267344197987111e-06,0.025659174676050087,0.00016393767434071208,0.23093257208445078
Baseline,mRMR,0.06403519410920441,3.4300562234013e-05,1.573767709164713e-07,0.012306271098271484,0.000274404497872104,0.12306271098271483
Elastic Net,Mutual Information,0.06357060073714335,0.00014360856762163124,9.781850213101738e-06,0.04934215374414213,0.0010052599733514187,0.3453950762089949
RFE,Mutual Information,0.05841266549325448,1.0073184967041016e-05,3.72494351838842e-06,0.036510215967907884,0.00010073184967041016,0.2920817277432631
Elastic Net,mRMR,0.05139106628584798,0.00021690130233764648,0.00016712464641040726,0.11122635603556613,0.001301407814025879,0.6673581362133968
RFE,mRMR,0.04623313104195912,0.0006738585313537618,0.00023866468810638953,0.12232984157644095,0.003369292656768809,0.6673581362133968
Baseline,RFE,0.017802063067245313,0.06329083223334525,0.07117824054981432,0.48993733216323165,0.253163328933381,1.0
Baseline,Elastic Net,0.012644127823356438,0.23554996872208356,0.23647399617133047,0.656071672205321,0.7066499061662507,1.0
mRMR,Mutual Information,0.012179534451295368,0.36056673509747184,0.2866246824119852,0.6892532928032403,0.7211334701949437,1.0
Elastic Net,RFE,0.005157935243888873,0.7379536388336091,0.6839586230258429,0.879652255465674,0.7379536388336091,1.0
