Method,n,Accuracy,Sensitivity,Specificity,Precision,Recall,F1,MCC,ROC-AUC
Baseline,27,0.970 ± 0.007,0.685 ± 0.092,0.988 ± 0.006,0.790 ± 0.073,0.685 ± 0.092,0.730 ± 0.065,0.718 ± 0.067,0.896 ± 0.039
mRMR,15,0.967 ± 0.009,0.698 ± 0.100,0.984 ± 0.006,0.743 ± 0.080,0.698 ± 0.100,0.717 ± 0.078,0.701 ± 0.082,0.902 ± 0.042
Elastic Net,14,0.969 ± 0.007,0.689 ± 0.093,0.987 ± 0.006,0.783 ± 0.075,0.689 ± 0.093,0.729 ± 0.070,0.717 ± 0.072,0.894 ± 0.048
Mutual Information,15,0.968 ± 0.008,0.691 ± 0.102,0.985 ± 0.004,0.755 ± 0.066,0.691 ± 0.102,0.719 ± 0.075,0.704 ± 0.078,0.896 ± 0.046
RFE,15,0.967 ± 0.009,0.691 ± 0.094,0.985 ± 0.007,0.752 ± 0.091,0.691 ± 0.094,0.716 ± 0.075,0.701 ± 0.078,0.893 ± 0.044
Length only,1,0.877 ± 0.024,0.587 ± 0.107,0.896 ± 0.026,0.273 ± 0.055,0.587 ± 0.107,0.368 ± 0.061,0.342 ± 0.070,0.793 ± 0.061
