A,B,mean_diff,wilcoxon_p,paired_t_p,corrected_t_p,wilcoxon_holm,corrected_t_holm
Baseline,Length only,0.3762477999884791,5.960464477539063e-08,9.475522759096581e-19,1.8533501053818497e-09,8.940696716308594e-07,2.4093551369964046e-08
Elastic Net,Length only,0.375130134477012,5.960464477539063e-08,1.7105189512136e-18,3.003750938096236e-09,8.940696716308594e-07,3.604501125715483e-08
Mutual Information,Length only,0.36216079865078493,5.960464477539063e-08,1.0723009712020296e-19,3.0126388888368054e-10,8.940696716308594e-07,4.518958333255208e-09
mRMR,Length only,0.35976253937938474,5.960464477539063e-08,5.916203808210923e-19,1.2572288114333114e-09,8.940696716308594e-07,1.760120336006636e-08
RFE,Length only,0.3596648209735459,5.960464477539063e-08,1.3757129717087145e-16,9.382701620563308e-08,8.940696716308594e-07,1.032097178261964e-06
Baseline,RFE,0.016582979014933174,0.059331738977628015,0.044728753690883985,0.43922162826825273,0.5933173897762801,1.0
Baseline,mRMR,0.016485260609094325,0.17110154647640796,0.14276078845889986,0.5788158248003761,1.0,1.0
Elastic Net,RFE,0.015465313503466067,0.10959858339911595,0.09172467877416463,0.5203326025474457,0.9863872505920436,1.0
Elastic Net,mRMR,0.015367595097627218,0.23013934044341644,0.1757565824897508,0.6091077804219519,1.0,1.0
Baseline,Mutual Information,0.014087001337694227,0.16765127087714093,0.13607157152796256,0.5720976858500644,1.0,1.0
Elastic Net,Mutual Information,0.01296933582622712,0.26272224684071965,0.16918270582666456,0.6034039886830476,1.0,1.0
Mutual Information,RFE,0.0024959776772389476,0.7651984444971875,0.8326524031802659,0.937424570604567,1.0,1.0
Mutual Information,mRMR,0.0023982592714000984,0.9584199496651095,0.8200446687450282,0.9326376722763603,1.0,1.0
Baseline,Elastic Net,0.0011176655114671075,0.7089053094753638,0.8961943022386114,0.9613472416852404,1.0,1.0
mRMR,RFE,9.771840583884917e-05,0.9740990030062106,0.9940216509619295,0.997779677858472,1.0,1.0
